champ1,champ2,champ3,lane,gender,born_year,game_started_year,MBTI
126,114,236,TOP,male,2000,2013,ENTP
81,202,21,BOTTOM,male,2000,2017,ISFP
421,104,245,JUNGLE,male,1994,2012,ENTP
875,48,59,JUNGLE,male,2001,2014,ISTP
22,81,21,BOTTOM,male,1989,2012,INTJ
64,102,76,JUNGLE,male,1991,2013,ESFP
86,10,57,TOP,male,1987,2012,ENFP
412,37,89,SUPPORT,male,2000,2013,ISTJ
3,80,56,MID,male,2001,2019,ISTP
86,82,58,TOP,male,2001,2012,INTP
84,555,101,MID,male,2001,2013,ISTJ
56,101,53,MID,male,1995,2012,ISTP
14,107,82,TOP,male,2001,2012,ISFP
51,110,15,BOTTOM,male,1997,2012,INTP
523,81,51,BOTTOM,male,2002,2014,ESFP
80,235,412,SUPPORT,male,1997,2012,INFJ
142,246,13,MID,male,2001,2013,ISFJ
16,235,99,SUPPORT,male,1999,2017,ENTP
84,78,99,MID,male,1999,2018,INTP
81,523,22,BOTTOM,male,2003,2015,ESFP
157,245,7,MID,male,2003,2015,ISTP
412,432,53,SUPPORT,male,1996,2013,INTJ
56,245,61,MID,male,1994,2012,INTP
235,350,43,SUPPORT,male,1997,2012,ISFJ
236,81,235,BOTTOM,male,1991,2012,ENFP
77,56,254,JUNGLE,male,1996,2014,INTP
81,110,145,BOTTOM,male,1997,2014,INFJ
58,54,150,TOP,male,1993,2012,ESFP
122,875,516,TOP,male,2003,2015,ENFP
516,86,24,TOP,male,2004,2019,INTP
80,131,90,MID,male,1990,2012,ESFP
117,16,235,SUPPORT,male,1996,2013,INTP
98,516,86,TOP,male,2001,2014,INTP
235,223,427,SUPPORT,male,2001,2012,INFJ
412,26,89,SUPPORT,male,1994,2019,INFP
60,104,62,JUNGLE,male,2003,2016,ISFP
133,31,117,TOP,male,1989,2016,ISTJ
91,105,777,MID,male,2004,2016,ISFP
122,106,86,TOP,male,2002,2013,INFP
39,84,516,TOP,male,1998,2012,ENTJ
516,122,875,TOP,male,1991,2012,ISFP
21,145,81,BOTTOM,male,2002,2019,ENFP
4,103,61,MID,male,1999,2012,INFJ
84,3,38,MID,male,2000,2012,ENTJ
235,80,40,SUPPORT,male,1995,2017,INTP
89,80,875,SUPPORT,male,1999,2015,ENFJ
876,11,30,JUNGLE,male,2002,2014,INFP
58,61,57,MID,male,2000,2013,INTP
64,120,104,JUNGLE,male,1997,2013,ISFP
81,22,21,BOTTOM,male,2000,2017,INTP
82,80,240,TOP,male,2001,2012,INFJ
60,421,245,JUNGLE,male,2002,2016,INFP
421,60,59,JUNGLE,male,2003,2014,ENFP
777,246,238,MID,male,2001,2014,ENFP
81,236,110,BOTTOM,male,1991,2014,INFP
523,81,21,BOTTOM,male,1996,2014,INTP
102,875,104,JUNGLE,male,1992,2019,INFP
21,22,15,BOTTOM,male,1994,2012,ISFP
12,89,412,SUPPORT,male,1998,2013,ENFP
57,89,75,SUPPORT,male,1999,2012,ENFP
412,432,555,SUPPORT,male,2003,2014,INTP
117,26,99,SUPPORT,male,2001,2013,ENTP
4,68,61,MID,male,2002,2019,ISTP
59,113,60,JUNGLE,male,1993,2012,ISFJ
51,29,22,BOTTOM,male,1999,2016,ISFJ
22,110,51,BOTTOM,male,2003,2015,ESFP
84,157,246,MID,male,2000,2013,INTJ
1,80,91,MID,male,2000,2013,ENTJ
517,126,3,MID,male,2002,2015,INTP
80,555,117,SUPPORT,male,1995,2013,INFJ
245,2,876,JUNGLE,male,1999,2018,ISTJ
235,432,98,SUPPORT,female,1996,2016,INTJ
266,107,82,TOP,male,2001,2013,INFP
432,555,235,SUPPORT,male,2003,2014,INTP
64,76,141,JUNGLE,male,2001,2012,ISTP
517,89,37,TOP,male,1995,2012,ESFP
81,523,145,BOTTOM,male,2005,2015,ENTP
432,40,201,SUPPORT,male,2000,2015,INTP
53,50,412,SUPPORT,male,1988,2020,INFP
245,5,104,JUNGLE,male,2004,2019,INTP
60,64,98,JUNGLE,male,1993,2013,ISFP
48,245,254,JUNGLE,male,1989,2016,INTJ
412,53,555,SUPPORT,male,1999,2012,ESFJ
