id,accountId,puuid,,profileIconId,revisionDate,summonerLevel,champ1,champ2,champ3,lane,gender,born_year,game_started_year,MBTI
HuYtgWmaJS_6vz2FQ5zE0rKNnTfIMOxW-8dbp_9MVRTcIww,db6Pi38AcR2glDd04r4574DlRgbwOx2qEj4_iNG062tq,nn8yMhxyevmhEyE7WUa7uuzK1wjaChVpfXz2ojL1WtC81d4MH8qJRdBtUpEm5z-XwvLH8mqxh2eA9Q,,4659,1.60E+12,135,21,84,235,ADC,man,2001,2013,ESTJ
zICoPmp7NN5qqh9MbSsmEPefgB2nZdkNycgHz9AuCvfJfIc,SgpgLEI0tMlnhe3JzcuIA9uTmUR9c89EfIJD4ea2JDHr9PQ,rGAEp_LeFH2tKDQzZEVTeXGdI17ouqsYuVSicVHnTSRDAXiZbnlnr2ZCqhagvoo-2sjKp90Ny9wkLw,,3795,1.61E+12,168,22,80,117,SUPPORT,man,1997,2012,ENTP
g5XXBi8Ck2-gYv9SgjzY337UH_YwZE1z46I7d8EEnXny5dA,8aWGJFKnu0uUMgsDvIsy-0FsFM7w-RGRu5aI2dX99tg2FCg,C3EHIOHGYlksPE3EuQCzjErzETicxug5ezOMLJ2VOHuULZk3IkloY33uTVDy01FfH51ZKRdFEX90zg,,7,1.61E+12,232,126,114,236,TOP,man,2000,2013,ENTP
EIq1sRuKD6ps_Fz_6MXVSImvUoXok2Y3tj_MXFHVj-zZgrw,MUAxMS_Sq3sruzetvRdwFEBjuXsh_1Vw0g_OOcWO2z_sMRk,0YDU1QOi1YKO-EyNw3mv69bowXDppVZzBWlCK_Wt3CJnpKrmGn13s16DPZbnNxlLzvWx7X9Q_Th1Qw,,4690,1.61E+12,364,81,202,21,ADC,man,2000,2017,ISFP
eSqCngUJoCBuAzrQH8glvmQbWRpIAzMhrPqEh-QH0tcoSZI,9cpmNIjFco4pExE5CdjDVse5UtC0QPfUXbdHLGDlLQ5EQfo,c81r1X21ZsZeRwEdBGz5M4Hi9pDFUt7QqQLTyRhuLS6Ao-WuLtCWLJMvU4ezIbbCfzp-_mSPytanpA,,924,1.61E+12,263,157,266,104,TOP,man,2001,2015,ISTP
drhWpJds9jJUpKBTQGpXj3sD5QlSt0hy651U4qCdH9JO6g,OwlhbNGA0C7q_km4AgkZdRZh8TQXq38aPvCs9VvS46ou,lZbmsfvRKJ6pF4x0SCVoL8pamXGr_D38AXg_A7JHkzC856lD1NNlAULJBa4ri5-r_DLcKHQpM288WQ,,4787,1.61E+12,201,51,64,104,ADC,man,1995,2012,INFP
wl64nJ73WwVkoS6OrsdrPsMT-bwgVOsk_lc8qf4UtSm_i8c,s2qKo1h88HgDtACb_rTT2uVG7zwDOCzZg4SyPJyJod--P7Y,6grlRQMfhVX3RFaMYZ0rdTP53TLrvPjv6E1s4-Fvdd42O4Vg7vDmfxqN9Ln5o1SrYA2GtZZbwx2oGA,,4498,1.60E+12,147,91,80,81,MID,man,1996,2015,INTJ
sjUyZJqQvJPSDklZDZ9LOTmmUiW3_9T0GT1DyWd13MdiGQ,qJeClXsdHpBnMiInKlkIwdwcLbR7EqSQzPIte6BVat7q,JNBFT6oQaG6iBMvUNM33YthMq06g-LVgLmRSnheaOFtX5I4tRz3fZILgzKO6FynS1IJFBfwwoHffbA,,4763,1.61E+12,237,421,104,245,JUNGLE,man,1994,2012,ENTP
CNBzpa_MwWkMJBD9vuMeRUsc_Oysoxk10d_yrAZDYF3f1ng,cSO66SMCvTlSNit39GI5stWMO_aOQ5YSeJFRVX8Pt-2EKNU,VCnYmJlz2h8Y4auLZ8ke7x-hBgBgj_dx5ZrgQJb80SwSFIw8ubIIR5NUDUBiP_6wrYPp-iFAVdJXgA,,4780,1.61E+12,211,82,3,105,TOP,man,2001,2015,ENFP
1b77nktEj8ekBDnNmlEPYhN-QAirAg2TlgciOe4YWuM-9yI,I8MA23TA7VtQk2NMcwLq-4qNWyITQjSOkKmB-BFpy19NwRM,eLgNyZO-3lbUSceKi7H6zBHy9iAqdDhPFZnEbjxEYzHO4B0NujT1f855FCuCCvRfkytmSK-jMVpJJw,,4661,1.61E+12,262,875,134,48,JUNGLE,man,2001,2014,ISTP
