,id,accountId,puuid,name,profileIconId,revisionDate,summonerLevel
0,HuYtgWmaJS_6vz2FQ5zE0rKNnTfIMOxW-8dbp_9MVRTcIww,db6Pi38AcR2glDd04r4574DlRgbwOx2qEj4_iNG062tq,nn8yMhxyevmhEyE7WUa7uuzK1wjaChVpfXz2ojL1WtC81d4MH8qJRdBtUpEm5z-XwvLH8mqxh2eA9Q,번쩍필살곰,4659,1604783185000,135
1,zICoPmp7NN5qqh9MbSsmEPefgB2nZdkNycgHz9AuCvfJfIc,SgpgLEI0tMlnhe3JzcuIA9uTmUR9c89EfIJD4ea2JDHr9PQ,rGAEp_LeFH2tKDQzZEVTeXGdI17ouqsYuVSicVHnTSRDAXiZbnlnr2ZCqhagvoo-2sjKp90Ny9wkLw,Femme Fatale,3795,1605452810000,168
2,g5XXBi8Ck2-gYv9SgjzY337UH_YwZE1z46I7d8EEnXny5dA,8aWGJFKnu0uUMgsDvIsy-0FsFM7w-RGRu5aI2dX99tg2FCg,C3EHIOHGYlksPE3EuQCzjErzETicxug5ezOMLJ2VOHuULZk3IkloY33uTVDy01FfH51ZKRdFEX90zg,범의 위용,7,1605485853000,232
3,EIq1sRuKD6ps_Fz_6MXVSImvUoXok2Y3tj_MXFHVj-zZgrw,MUAxMS_Sq3sruzetvRdwFEBjuXsh_1Vw0g_OOcWO2z_sMRk,0YDU1QOi1YKO-EyNw3mv69bowXDppVZzBWlCK_Wt3CJnpKrmGn13s16DPZbnNxlLzvWx7X9Q_Th1Qw,그하무,4690,1605479958000,364
4,eSqCngUJoCBuAzrQH8glvmQbWRpIAzMhrPqEh-QH0tcoSZI,9cpmNIjFco4pExE5CdjDVse5UtC0QPfUXbdHLGDlLQ5EQfo,c81r1X21ZsZeRwEdBGz5M4Hi9pDFUt7QqQLTyRhuLS6Ao-WuLtCWLJMvU4ezIbbCfzp-_mSPytanpA,백정이된탑솔러,924,1605237023000,263
5,drhWpJds9jJUpKBTQGpXj3sD5QlSt0hy651U4qCdH9JO6g,OwlhbNGA0C7q_km4AgkZdRZh8TQXq38aPvCs9VvS46ou,lZbmsfvRKJ6pF4x0SCVoL8pamXGr_D38AXg_A7JHkzC856lD1NNlAULJBa4ri5-r_DLcKHQpM288WQ,쌀의남자,4787,1605337020000,201
6,wl64nJ73WwVkoS6OrsdrPsMT-bwgVOsk_lc8qf4UtSm_i8c,s2qKo1h88HgDtACb_rTT2uVG7zwDOCzZg4SyPJyJod--P7Y,6grlRQMfhVX3RFaMYZ0rdTP53TLrvPjv6E1s4-Fvdd42O4Vg7vDmfxqN9Ln5o1SrYA2GtZZbwx2oGA,Pure Agility,4498,1604564905000,147
7,sjUyZJqQvJPSDklZDZ9LOTmmUiW3_9T0GT1DyWd13MdiGQ,qJeClXsdHpBnMiInKlkIwdwcLbR7EqSQzPIte6BVat7q,JNBFT6oQaG6iBMvUNM33YthMq06g-LVgLmRSnheaOFtX5I4tRz3fZILgzKO6FynS1IJFBfwwoHffbA,새장이에요,4763,1605480275000,237
8,CNBzpa_MwWkMJBD9vuMeRUsc_Oysoxk10d_yrAZDYF3f1ng,cSO66SMCvTlSNit39GI5stWMO_aOQ5YSeJFRVX8Pt-2EKNU,VCnYmJlz2h8Y4auLZ8ke7x-hBgBgj_dx5ZrgQJb80SwSFIw8ubIIR5NUDUBiP_6wrYPp-iFAVdJXgA,너굴Man,4780,1605514724000,211
9,1b77nktEj8ekBDnNmlEPYhN-QAirAg2TlgciOe4YWuM-9yI,I8MA23TA7VtQk2NMcwLq-4qNWyITQjSOkKmB-BFpy19NwRM,eLgNyZO-3lbUSceKi7H6zBHy9iAqdDhPFZnEbjxEYzHO4B0NujT1f855FCuCCvRfkytmSK-jMVpJJw,CS 다 흘려요,4661,1605481107000,262
10,Jnun4UcXmdDjLuO3GAAVmnqdBGwvOeFWbpwYsCoKzlD30w,SQkppjUWKwIWo2Y7DJKhQe8BXoVuzokez9Tyha8ThxdL,EgMsZhCWIZCBNYZCL9g7NiQKrmEPwwNZxkEUOipHlQBs06Ii3zQSJ6zziSRlkHFXD7lv75yeqMsYRA,BIBI1,4782,1605205327000,372
11,dmj6NYruAzdW6d52xAPUslkmDVWkKC8mRxm_qhw1HA4VR4o,oCcfHEIWL1pndPUKbp6X9wYI_C-eqUeM7GKNByqlL4CrpNo,90qAHw4qle5YFRPcxpdzUslQhgzvq4QQt2_qnhyQI7371sq_IokLSrdl4K61J1PgwxDMrvMxOgAhjg,방산고일짱,2095,1605492371000,174
12,Xbanr_MmIBaZEkZwr6xMJUQA7xIi8EAPsL325u1QpW0vGQ,xNSDHNb8o_hKvXNGOvqASJXl9OC3G02EkH0IlhwmHJCC,nJ1I7mcCtx2qOmkaDa-ExoxiqncnYv_gy5eVt84YHxLO01HWcccI7rJx1zfSiFnRxaSzXYhSyfVpog,무위무불위,4509,1605408054000,362
13,4FZdYcd876xAFxByIQROHQi0MM6JWNfLjAjV0TJyxf7bkfM,6yXewT7CvWT4vGglsIakU3YwfZi59S9vcrA1prWDtuCf5GY,z9gNVLpLzusWf3LAjD0JB8IFhuifWmK7m3bNMqWeTl1mQ-qNFO3EltBLGlSAwp123OOQld24lNzwUA,새우깡먹다걸림,4568,1605255928000,281
