"Timestamp","롤 닉네임 (주로 사용하는 계정 1개)","성별","출생 연도","랭크 게임에서 새로 하고 싶었거나 더 잘 하고 싶었던 챔피언이 있나요? (선택)","롤을 처음 시작한 연도 (선택)","주의초점","인식기능","판단기능","생활양식"
"2020/11/10 11:21:02 AM GMT+9","번쩍필살곰","남자","2001","아칼리","2013","1","1","1","1"
"2020/11/10 11:21:19 AM GMT+9","femme fatale","남자","1997","이즈리얼","2012 또는 그 이전","1","2","1","2"
"2020/11/10 11:21:21 AM GMT+9","범의 위용","남자","2000","케넨","2013","1","2","1","2"
"2020/11/10 11:21:21 AM GMT+9","그하무","남자","2000","제드,칼리스타,사미라","2017","2","1","2","2"
"2020/11/10 11:21:23 AM GMT+9","백정이된탑솔러","남자","2001","트위스티드 페이트, 그레이브즈","2015","2","1","1","2"
"2020/11/10 11:21:32 AM GMT+9","쌀의남자","남자","1995","리 신, 카밀, 애쉬, 이즈리얼, 사미라","2012 또는 그 이전","2","2","2","2"
"2020/11/10 11:21:36 AM GMT+9","Pure agility","남자","1996","르블랑, 제드, 트위스티드 페이트","2015","2","2","1","1"
"2020/11/10 11:21:50 AM GMT+9","새장이에요","남자","1994","사미라","2012 또는 그 이전","1","2","1","2"
"2020/11/10 11:21:57 AM GMT+9","너굴Man","남자","2001","제이스","2015","1","2","2","2"
"2020/11/10 11:22:00 AM GMT+9","cs다흘려요","남자","2001","바이,킨드레드,니달리","2014","2","1","1","2"
"2020/11/10 11:22:03 AM GMT+9","bibi1","남자","1989","리신, 에코,","2012 또는 그 이전","2","2","1","1"
"2020/11/10 11:22:06 AM GMT+9","방산고일짱","남자","1996","트위치, 코그모, 베인, 루시안","2016","2","2","2","2"
"2020/11/10 11:22:07 AM GMT+9","무위무불위","남자","1991","엘리스, 그브,","2013","1","1","2","2"
"2020/11/10 11:22:07 AM GMT+9","새우깡먹다걸림","남자","2002","칼리스타,이즈리얼","2015","2","1","1","2"
"2020/11/10 11:22:14 AM GMT+9","그냥부계정이다","남자","2002","카이사","2014","2","2","2","2"
"2020/11/10 11:22:27 AM GMT+9","Erisen","남자","1996","조이,아우렐리온 솔,아칼리,신드라","2013","2","2","2","2"
"2020/11/10 11:22:31 AM GMT+9","carim","남자","1987","아트록스, 이렐리아, 카타리나, 트페, 리신, 올라프","2012 또는 그 이전","1","2","2","2"
"2020/11/10 11:22:36 AM GMT+9","라 펜","남자","2000","아펠리오스, 카이사","2013","2","1","1","1"
"2020/11/10 11:22:38 AM GMT+9","군필 짠찐","남자","1998","볼리베어, 카밀","2013","2","1","2","2"
"2020/11/10 11:22:57 AM GMT+9","4Seas0N","남자","2001","니달리, 카서스, 아칼리, 이렐리아","2019","2","1","1","2"
"2020/11/10 11:23:09 AM GMT+9","선한우유","남자","1999","아펠리오스, 이즈리얼, 오리아나","2013","2","1","2","1"
"2020/11/10 11:23:13 AM GMT+9","다다12","남자","2001","카밀, 피오라, 이렐리아","2012 또는 그 이전","2","2","1","2"
"2020/11/10 11:23:18 AM GMT+9","바닐라초코스틱","남자","2002","블라디미르","2019","2","2","2","2"
"2020/11/10 11:23:20 AM GMT+9","kidyon","남자","2001","아칼리,제라스,르블랑,사일러스","2013","2","1","1","1"
"2020/11/10 11:23:22 AM GMT+9","아이vv","남자","1995 ","블라디미르","2012 또는 그 이전","2","1","1","2"
"2020/11/10 11:23:22 AM GMT+9","최병재","남자","2001","렝가, 라칸, 빅토르","2012 또는 그 이전","1","2","2","2"
"2020/11/10 11:23:33 AM GMT+9","쎄 리","남자","1998","리 신, 카서스","2013","1","2","1","1"
"2020/11/10 11:23:43 AM GMT+9","Elendil","남자","1996","마스터이","2013","2","2","1","2"
"2020/11/10 11:23:53 AM GMT+9","자기야 어시먹어","남자","1998","탑유저이다 보니 숙련도 낮지만 좋은챔프들 카밀이랑 탱커챔 정글쪽은 ap챔프 에코, 카서스, 엘리스, 니달리","2013","2","1","2","2"
